pair1,pair2,study,species
PEC001,PEC023,Wheeldon,Canis latrans
Grupo005_Id015,Grupo005_Id019,Gustavo,Leopardus geoffroyi
B05F_5628/5620,B06M_5625,Serieys,CoyoteValley
PEC068,PEC080,Wheeldon,Canis latrans
Lynx_Kakapo,Lynx_Kun,Extremadura,Lynx pardinus
NCF4,NCM9,Bogdan,Caracal caracal
PEC112,PEC114,Wheeldon,Canis latrans
164957,165194,Gustavo,Cerdocyon thous
PEC012,PEC027,Wheeldon,Canis latrans
PEC004,PEC005,Wheeldon,Canis latrans
Charlotte,Jasiri,Wilmers,Panthera leo
28F,31M,Wilmers,Puma concolor
20F,2F,Wilmers,Puma concolor
B05F_5628/5620,B19F_5971,Serieys,CoyoteValley
PEC014,PEC032,Wheeldon,Canis latrans
itatiaia,kia,Gustavo,Dataset2
PEC104,PEC114,Wheeldon,Canis latrans
Grupo005_Id031,Grupo023_Id003,Gustavo,Leopardus geoffroyi
B19F_5971,B25M_5618,Serieys,CoyoteValley
Celada,Fleita,Palomares,Felis silvestris
150312,164900,Gustavo,Cerdocyon thous
id03,luck,Gustavo,Cerdocyon thous
10F,38F,Wilmers,Puma concolor
Moe,Zoe,Roshier,Vulpes vulpes
id16,id17,Gustavo,Cerdocyon thous
Maggie,Mkogwe,Wilmers,Panthera leo
PEC043,PEC054,Wheeldon,Canis latrans
Bagheera,Ginger,Drouilly,Caracal caracal
Marina,Sunshine,Drouilly,Caracal caracal
Grupo005_Id020,Grupo023_Id003,Gustavo,Leopardus geoffroyi
PEC122,PEC137,Wheeldon,Canis latrans
M1,Mirinha,Gustavo,Puma concolor
BVOB,JMVJ,Bertreaux,Vulpes lagopus
150402,164900,Gustavo,Cerdocyon thous
PEC082,PEC083,Wheeldon,Canis latrans
Fay,Wal,Roshier,Dataset2
BOBB,OBBB,Bertreaux,Vulpes lagopus
B082,B084,Hebblewhite,Canis lupus
Chumvi,Limofu,Wilmers,Panthera pardus
PEC042,PEC054,Wheeldon,Canis latrans
PEC079,PEC083,Wheeldon,Canis latrans
42M,48M,Wilmers,Puma concolor
Strandloper,Zola,Serieys,Caracal caracal
B03F_5622/5974,B07M_5627,Serieys,CoyoteValley
Grupo005_Id017_2,Grupo005_Id019,Gustavo,Leopardus geoffroyi
PEC106,PEC108,Wheeldon,Canis latrans
Grupo005_Id003_2,Grupo005_Id015,Gustavo,Leopardus geoffroyi
JBOR,OBBB,Bertreaux,Vulpes lagopus
Mattias,Spank,Walton,Vulpes vulpes
150011,150462,Gustavo,Cerdocyon thous
BBJO,BVOB,Bertreaux,Vulpes lagopus
B16M_5973,B17F_5621,Serieys,CoyoteValley
id17,mel,Gustavo,Cerdocyon thous
150011,150102,Gustavo,Cerdocyon thous
Roy,Vic,Roshier,Dataset2
150312,150552,Gustavo,Cerdocyon thous
BORR,VJOO,Bertreaux,Vulpes lagopus
Baru,Mirinha,Gustavo,Puma concolor
NCM3,NCM4,Bogdan,Caracal caracal
PEC011,PEC027,Wheeldon,Canis latrans
PEC116,PEC122,Wheeldon,Canis latrans
51M,53F,Wilmers,Puma concolor
26M,28F,Wilmers,Puma concolor
Grupo005_Id017,Grupo005_Id023,Gustavo,Leopardus geoffroyi
B14M_5613,B18F_5614,Serieys,CoyoteValley
PEC087,PEC090,Wheeldon,Canis latrans
PEC068,PEC088,Wheeldon,Canis latrans
164886,165224,Gustavo,Cerdocyon thous
B05F_5628/5620,B17F_5621,Serieys,CoyoteValley
150402,150552,Gustavo,Cerdocyon thous
Grupo005_Id015,Grupo023_Id001,Gustavo,Leopardus geoffroyi
PEC107,PEC129,Wheeldon,Canis latrans
PEC005,PEC007,Wheeldon,Canis latrans
PEC044,PEC052,Wheeldon,Canis latrans
PEC106,PEC120,Wheeldon,Canis latrans
FireLily,Madala,Serieys,Caracal caracal
PEC114,PEC137,Wheeldon,Canis latrans
Jen,Oli,Roshier,Vulpes vulpes
Lynx_Komodo,Lynx_Kun,Extremadura,Lynx pardinus
id17,lana,Gustavo,Cerdocyon thous
Grupo005_Id003,Grupo005_Id015,Gustavo,Leopardus geoffroyi
Bobcat_B35F,Bobcat_B36F,Serieys,AromasHills
PEC074,PEC083,Wheeldon,Canis latrans
barros,schaller,Gustavo,Dataset1
Xolani,Zola,Serieys,Caracal caracal
114F,116M,Wilmers,Puma concolor
PEC113,PEC114,Wheeldon,Canis latrans
Bobcat_B28M,Bobcat_B32F,Serieys,AromasHills
24F,4M,Wilmers,Puma concolor
165194,1652521,Gustavo,Cerdocyon thous
Bilge,Deniz,Cagan,Lynx lynx
PEC070,PEC080,Wheeldon,Canis latrans
107M,38F,Wilmers,Puma concolor
B17F_5621,B20F_5968,Serieys,CoyoteValley
id03,per,Gustavo,Cerdocyon thous
164820,164900,Gustavo,Cerdocyon thous
barros,peary,Gustavo,Dataset1
80F,81F,Wilmers,Puma concolor
113M,25F,Wilmers,Puma concolor
B12M_5617,B19F_5971,Serieys,CoyoteValley
B14M_5613,B15M_5612,Serieys,CoyoteValley
PEC007,PEC018,Wheeldon,Canis latrans
Bella,Maggie,Wilmers,Panthera leo
B09M_5609,B23M_5624,Serieys,CoyoteValley
B13M_5616,B19F_5971,Serieys,CoyoteValley
Eloise,Shandy,Wilmers,Panthera leo
PEC114,PEC116,Wheeldon,Canis latrans
Bobcat_B27M,Bobcat_B32F,Serieys,AromasHills
Jen,Lou,Roshier,Vulpes vulpes
B11F_5967,B13M_5616,Serieys,CoyoteValley
B16M_5973,B19F_5971,Serieys,CoyoteValley
Bagheera,Bigpaw,Drouilly,Caracal caracal
B11F_5967,B12M_5617,Serieys,CoyoteValley
41M,42M,Wilmers,Puma concolor
Grupo005_Id017,Grupo005_Id022,Gustavo,Leopardus geoffroyi
CAN06,CAN13,Gustavo,Leopardus geoffroyi
PEC090,PEC091,Wheeldon,Canis latrans
id03,mel,Gustavo,Cerdocyon thous
Farasi,Shandy,Wilmers,Panthera leo
constance,schaller,Gustavo,Dataset1
23F,36M,Wilmers,Puma concolor
Frans_1,Spank,Walton,Vulpes vulpes
Ivy,Ray,Roshier,Dataset1
Charlotte,Diabla,Wilmers,Panthera leo
J015,J016,Hebblewhite,Canis lupus
PEC020,PEC027,Wheeldon,Canis latrans
Marine,West,Serieys,Caracal caracal
1651941,165252,Gustavo,Cerdocyon thous
peary,shack,Gustavo,Dataset1
B077,B083,Hebblewhite,Canis lupus
150552,164820,Gustavo,Cerdocyon thous
constance,peary,Gustavo,Dataset1
48M,53F,Wilmers,Puma concolor
150102,150681,Gustavo,Cerdocyon thous
Janne,Niklas,Walton,Vulpes vulpes
J015,J018,Hebblewhite,Canis lupus
150312,150462,Gustavo,Cerdocyon thous
Mem,Moe,Roshier,Vulpes vulpes
id03,lana,Gustavo,Cerdocyon thous
