pair1,pair2,study,species
PEC041,PEC042,Wheeldon,Canis latrans
W97110,W97356,GreatLakesWolf,Canis lupus x lycaon
M1,Tex,Gustavo,Puma concolor
PEC018,PEC020,Wheeldon,Canis latrans
80F,82M,Wilmers,Puma concolor
78F,81F,Wilmers,Puma concolor
PEC001,PEC005,Wheeldon,Canis latrans
Apethe,Victoria,Wilmers,Panthera leo
Lynx_Nebulosa,Lynx_Nubero,Extremadura,Lynx pardinus
Batubay,Deniz,Cagan,Lynx lynx
Jasiri,Merimela,Wilmers,Panthera leo
Jon,Ken2016,Roshier,Dataset1
Ivy,Roy,Roshier,Dataset2
T35,T36,GreatLakesWolf,Canis lupus x lycaon
PEC103,PEC104,Wheeldon,Canis latrans
PEC004,PEC012,Wheeldon,Canis latrans
PEC001,PEC018,Wheeldon,Canis latrans
23F,27M,Wilmers,Puma concolor
PEC082,PEC092,Wheeldon,Canis latrans
NCM11,NCM4,Bogdan,Caracal caracal
NCF2,NCF3,Bogdan,Caracal caracal
Ivy,Roy,Roshier,Dataset1
PEC079,PEC092,Wheeldon,Canis latrans
27M,28F,Wilmers,Puma concolor
NCF2,NCM11,Bogdan,Caracal caracal
Dakteri,Diabla,Wilmers,Panthera leo
NCF3,NCM4,Bogdan,Caracal caracal
Limofu,Mzee,Wilmers,Panthera pardus
17M,4M,Wilmers,Puma concolor
PEC112,PEC131,Wheeldon,Canis latrans
W124,W127,Hebblewhite,Canis lupus
82M,83M,Wilmers,Puma concolor
Merimela,Victoria,Wilmers,Panthera leo
NCF1,NCM7,Bogdan,Caracal caracal
PEC004,PEC011,Wheeldon,Canis latrans
Chesie,Hedley,Wilmers,Panthera leo
Apethe,Jasiri,Wilmers,Panthera leo
PEC007,PEC019,Wheeldon,Canis latrans
PEC012,PEC039,Wheeldon,Canis latrans
PEC074,PEC092,Wheeldon,Canis latrans
Ada,Flo,Roshier,Vulpes vulpes
PEC023,PEC039,Wheeldon,Canis latrans
Leo,Ted,Roshier,Dataset2
Cristina_1,Niklas,Walton,Vulpes vulpes
Flo,Oli,Roshier,Vulpes vulpes
Ewaso,Limofu,Wilmers,Panthera pardus
PEC015,PEC032,Wheeldon,Canis latrans
PEC002,PEC004,Wheeldon,Canis latrans
PEC049,PEC059,Wheeldon,Canis latrans
NCF1,NCF4,Bogdan,Caracal caracal
Batubay,Hazar,Cagan,Lynx lynx
B042,B045,Hebblewhite,Canis lupus
Jasper,Ratel,Serieys,Caracal caracal
PEC004,PEC020,Wheeldon,Canis latrans
36M,42M,Wilmers,Puma concolor
B065,B077,Hebblewhite,Canis lupus
PEC066,PEC074,Wheeldon,Canis latrans
PEC131,PEC137,Wheeldon,Canis latrans
Cat,Flo,Roshier,Vulpes vulpes
PEC113,PEC131,Wheeldon,Canis latrans
NCF1,NCM13,Bogdan,Caracal caracal
PEC049,PEC066,Wheeldon,Canis latrans
PEC053,PEC059,Wheeldon,Canis latrans
PEC009,PEC015,Wheeldon,Canis latrans
Dakteri,Jasiri,Wilmers,Panthera leo
PEC037,PEC042,Wheeldon,Canis latrans
PEC001,PEC004,Wheeldon,Canis latrans
PEC116,PEC131,Wheeldon,Canis latrans
Ken2017,Roy,Roshier,Dataset1
Ingvar_2,Kenneth,Walton,Vulpes vulpes
PEC066,PEC079,Wheeldon,Canis latrans
Charlotte,Merimela,Wilmers,Panthera leo
T41,T58,GreatLakesWolf,Canis lupus x lycaon
Eben,Zola,Serieys,Caracal caracal
78F,83M,Wilmers,Puma concolor
RBVM,RVJO,Bertreaux,Vulpes lagopus
PEC059,PEC074,Wheeldon,Canis latrans
PEC066,PEC082,Wheeldon,Canis latrans
PEC107,PEC110,Wheeldon,Canis latrans
26M,38F,Wilmers,Puma concolor
27M,7F,Wilmers,Puma concolor
Farasi,Merimela,Wilmers,Panthera leo
Jasper,Marine,Serieys,Caracal caracal
Bobcat_B36F,Bobcat_GF01F,Serieys,AromasHills
PEC053,PEC066,Wheeldon,Canis latrans
B065,B078,Hebblewhite,Canis lupus
PEC059,PEC079,Wheeldon,Canis latrans
PEC027,PEC037,Wheeldon,Canis latrans
Ivy,Vic,Roshier,Dataset2
PEC059,PEC082,Wheeldon,Canis latrans
PEC019,PEC030,Wheeldon,Canis latrans
31M,38F,Wilmers,Puma concolor
Apethe,Charlotte,Wilmers,Panthera leo
PEC027,PEC039,Wheeldon,Canis latrans
81F,82M,Wilmers,Puma concolor
Batubay,Bilge,Cagan,Lynx lynx
Jen,Joy,Roshier,Vulpes vulpes
NCF1,NCM9,Bogdan,Caracal caracal
Leo,Wal,Roshier,Dataset2
PEC014,PEC015,Wheeldon,Canis latrans
Bec,Zac,Roshier,Dataset2
20F,7F,Wilmers,Puma concolor
53F,55F,Wilmers,Puma concolor
PEC039,PEC042,Wheeldon,Canis latrans
107M,25F,Wilmers,Puma concolor
PEC005,PEC019,Wheeldon,Canis latrans
Putin,Spank,Walton,Vulpes vulpes
Ray,Roy,Roshier,Dataset1
Charlotte,Dakteri,Wilmers,Panthera leo
PEC103,PEC107,Wheeldon,Canis latrans
PEC018,PEC019,Wheeldon,Canis latrans
62M,66M,Wilmers,Puma concolor
